id;code;name;description;icon;price;publish_date;start_date;expire_date;use_guide;terms;status;user_id
1;magenta;incentivize Solutions;auxiliary;capacity Savings;3591;2021-06-02T16:19:47;2021-06-02T20:50:35;2021-06-02T19:18:16;Avon Liaison;Chips overriding visualize;DEACTIVATED;Fundamental virtual
2;New Consultant;defect Wooden;Configurable;systems Wooden Account;38627;2021-06-02T20:02:09;2021-06-02T17:02:57;2021-06-03T10:04:31;teal programming;Table;EXPIRED;Steel
3;forecast synthesize;Crossroad Orchestrator;driver;withdrawal interface efficient;22257;2021-06-02T19:47:51;2021-06-02T19:01:50;2021-06-03T08:17:07;mobile COM open-source;Granite;EXPIRED;enable
4;collaborative Custom;project;back-end;Infrastructure Vermont;75287;2021-06-03T02:45:48;2021-06-03T01:09:08;2021-06-03T04:06:04;invoice feed;EXE Small;DEACTIVATED;Loan plum
5;PCI eyeballs;monitor Investor Cambridgeshire;Borders;Garden Dynamic Ergonomic;78548;2021-06-02T18:36:06;2021-06-03T14:17:55;2021-06-02T21:56:07;Global invoice;matrix;SOLD;e-services repurpose Exclusive
6;web-readiness;bypass invoice;port Montana Helena;Forward;66221;2021-06-03T02:14:47;2021-06-03T04:10:17;2021-06-03T02:12:06;Guarani;white benchmark Human;SOLD;program
7;Iraqi Direct deposit;red Platinum;Nebraska;Home array compress;10834;2021-06-03T11:37:40;2021-06-03T06:20:48;2021-06-03T11:44:15;Fresh cross-media PCI;Center;DEACTIVATED;vortals haptic Bacon
8;structure;Arkansas Intranet Legacy;monitor Pháp Usability;capacitor;65192;2021-06-03T01:43:43;2021-06-03T05:39:01;2021-06-03T13:50:18;Granite Kyrgyzstan Lead;deposit;EXPIRED;Idaho Lead
9;Corporate microchip;Syria;Frozen Mouse;Concrete grey Licensed;32114;2021-06-03T00:30:08;2021-06-03T06:15:03;2021-06-02T15:44:23;York;Investor;ACTIVATED;redundant redundant
10;Frozen intangible;Delaware analyzer algorithm;Cambridgeshire;back hub;30965;2021-06-03T01:28:22;2021-06-03T05:06:23;2021-06-03T02:26:28;Wooden salmon;architecture Principal;SOLD;Trace Chief Dinar
